ipa,category,manner,voice
a,vowel,vowel,voiced
i,vowel,vowel,voiced
u,vowel,vowel,voiced
p,consonant,plosive,voiceless
b,consonant,plosive,voiced
t,consonant,plosive,voiceless
d,consonant,plosive,voiced
k,consonant,plosive,voiceless
g,consonant,plosive,voiced
m,consonant,nasal,voiced
n,consonant,nasal,voiced
f,consonant,fricative,voiceless
v,consonant,fricative,voiced
s,consonant,fricative,voiceless
z,consonant,fricative,voiced
h,consonant,fricative,voiceless
j,consonant,approximant,voiced
w,consonant,approximant,voiced
l,consonant,approximant,voiced
r,consonant,approximant,voiced
